threshold,positive_count,positive_top1_hits,positive_top1_rate_pct,positive_top3_hits,positive_top3_rate_pct,positive_no_result_count,negative_count,negative_reject_count,negative_reject_rate_pct,negative_false_retrieval_count,negative_false_retrieval_rate_pct
0.80,50,43,86.00,47,94.00,3,10,10,100.00,0,0.00
0.85,50,43,86.00,48,96.00,2,10,5,50.00,5,50.00
0.90,50,43,86.00,48,96.00,2,10,2,20.00,8,80.00
0.95,50,44,88.00,49,98.00,1,10,2,20.00,8,80.00
1.00,50,44,88.00,49,98.00,1,10,1,10.00,9,90.00
1.05,50,44,88.00,50,100.00,0,10,1,10.00,9,90.00
